Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
فراس للإتصالات. FİRAS İLETİŞİM,"Cedit Mah. Leyla Atakan Cd, Cedit, Hisar Gç. Sk. no:33, 41300 İzmit/Kocaeli",0538 732 31 98,,https://www.google.com/search?q=F%C4%B0RAS+%C4%B0LET%C4%B0%C5%9E%C4%B0M&stick=H4sIAAAAAAAA_-NgU1I1qDA0SU4ySTM0NrZINrBMTTS1MqgwTUwyTzGzNDYzNEg0T7EwWMQq7HZkQ5BjsMKRDT6uIUc2HJ13ZIMvAB4YRBw_AAAA&hl=ar&mat=CaXXQgBfBf9fElYBNqvzOrplrYjDZTlYJ1VcoC7TPQ_I0Ztrew-JlEwI3-zPALKZUCgN1DyFIqcNfuRqo-Wh9GOtzGCauj-uVaFa5yLPZIPPwPWcMSIlKKLSVoSNvSN7zA&authuser=0#lpg=cid:CgIgARICEAE%3D&pgsivoi=1&wptab=si:AC1wQDAXKblb4YtxZaDquKpQ5Js55CVph8NS1FIwBhgs6qyyHkh_tTh82OCWtmvTVfLNAjNRlTD-TCpUBthX-X9rZlMFvjjtjIkKayyvKSfwJ5pcRiZgT4MNcvZvFXly9MWLHbR4_08An-fzG8L926-jN5W1qgb4BA%3D%3D,https://www.google.com/maps/place/Pa%C5%9Fa+Elektronik/data=!4m7!3m6!1s0x14cb4fb61e6d0961:0xa920d24ebf715ec9!8m2!3d40.7835163!4d29.92079!16s%2Fg%2F11k3bffytv!19sChIJYQltHrZPyxQRyV5xv07SIKk?authuser=0&hl=tr&rclk=1
LITECH,"Ömerağa, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/ONUR+%C4%B0leti%C5%9Fim+S%C4%B1f%C4%B1r+ve+2.+El+cihaz+al%C4%B1m+sat%C4%B1m/data=!4m7!3m6!1s0x14cb45221fefe1c9:0x72a61c55dc91a6eb!8m2!3d40.7642424!4d29.9284489!16s%2Fg%2F11thhf4n2_!19sChIJyeHvHyJFyxQR66aR3FUcpnI?authuser=0&hl=tr&rclk=1
Çınarlı GSM,"Cedit, Leyla Atakan Cd. No:53 B, 41900, 41100 İzmit/Kocaeli",0505 028 79 48,,N/A,https://www.google.com/maps/place/%D9%81%D8%B1%D8%A7%D8%B3+%D9%84%D9%84%D8%A5%D8%AA%D8%B5%D8%A7%D9%84%D8%A7%D8%AA.+F%C4%B0RAS+%C4%B0LET%C4%B0%C5%9E%C4%B0M%E2%80%AD/data=!4m7!3m6!1s0x14cb4f1338c09ea5:0x5ab7d693610a7d80!8m2!3d40.76679!4d29.934732!16s%2Fg%2F11k3lx6dmg!19sChIJpZ7AOBNPyxQRgH0KYZPWt1o?authuser=0&hl=tr&rclk=1
Cebimoplus,"Ömerağa, Belsa Sk. Belsa plaza zemin kat No:17, 41300 İzmit/Kocaeli",0539 204 97 97,,https://www.cebimo.com/,https://www.google.com/maps/place/LITECH/data=!4m7!3m6!1s0x14cb454fba17aee7:0x23940e126b9fdb8f!8m2!3d40.765737!4d29.9293976!16s%2Fg%2F11mvzh23z1!19sChIJ564Xuk9FyxQRj9ufaxIOlCM?authuser=0&hl=tr&rclk=1
Dataport Bilgi İşlem Çözümleri Sanayi ve Ticaret Ltd.Şti. - Teknopark Ofis,"Teknopark A.Ş. T-5 Yeniköy, 41275",(0262) 341 28 06,,N/A,https://www.google.com/maps/place/%C3%87%C4%B1narl%C4%B1+GSM/data=!4m7!3m6!1s0x14cb4fadd06639a9:0xe6e4f73c941461f9!8m2!3d40.7669383!4d29.9349946!16s%2Fg%2F11vj56v58z!19sChIJqTlm0K1PyxQR-WEUlDz35OY?authuser=0&hl=tr&rclk=1
ÖZSOY İLETİŞİM,"Alikahya Atatürk, Fatih Sultan Mehmet Blv. 34/B, 41100 İzmit/Kocaeli",0534 575 23 18,,http://instagram.com/ozsoyy_iletisimm,https://www.google.com/maps/place/Cebimoplus/data=!4m7!3m6!1s0x14cb45a9853e901b:0xd6c5ec9cd8399010!8m2!3d40.7650617!4d29.9291789!16s%2Fg%2F11x31drdms!19sChIJG5A-halFyxQREJA52JzsxdY?authuser=0&hl=tr&rclk=1
Kocaeli Teknikeller Telefon Tamir Servisi,"Ömerağa mah belsa Plaza Zemin kat no:17 9/1, 41100 İzmit",0506 805 91 49,,N/A,https://www.google.com/maps/place/Dataport+Bilgi+%C4%B0%C5%9Flem+%C3%87%C3%B6z%C3%BCmleri+Sanayi+ve+Ticaret+Ltd.%C5%9Eti.+-+Teknopark+Ofis/data=!4m7!3m6!1s0x14cb43ffa3764e9d:0xce171905b8dfcf8c!8m2!3d40.70313!4d29.883863!16s%2Fg%2F1thszsyd!19sChIJnU52o_9DyxQRjM_fuAUZF84?authuser=0&hl=tr&rclk=1
asdasfasfa,"Ömerağa, Belsa Sk. Belsa Plaza Zemin Kat No:17, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/%C3%96ZSOY+%C4%B0LET%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb51d3ebd85dbd:0x3b206dd20bc857cb!8m2!3d40.7733561!4d30.0066824!16s%2Fg%2F11t31_60hz!19sChIJvV3Y69NRyxQRy1fIC9JtIDs?authuser=0&hl=tr&rclk=1
Saatci Teknik Servis Kocaeli,"Veliahmet, Alemdar Cd. No:93/C, 41200 İzmit/Kocaeli",(0262) 323 30 88,,N/A,https://www.google.com/maps/place/Kocaeli+Teknikeller+Telefon+Tamir+Servisi/data=!4m7!3m6!1s0x14cb47b73956ba61:0x8c2b504188ed3b05!8m2!3d40.7760658!4d29.8800403!16s%2Fg%2F11g_v6s8mh!19sChIJYbpWObdHyxQRBTvtiEFQK4w?authuser=0&hl=tr&rclk=1
Ortak iletişim,"Hacıhasan, İnönü Cd. No:69, 41310 İzmit/Kocaeli",0551 014 37 56,,N/A,https://www.google.com/maps/place/asdasfasfa/data=!4m7!3m6!1s0x14cb45a477fb0759:0x464fd1436a474c7a!8m2!3d40.7650136!4d29.9293739!16s%2Fg%2F11v0_g45l6!19sChIJWQf7d6RFyxQRekxHakPRT0Y?authuser=0&hl=tr&rclk=1
Türk Telekom Müdürlüğü,"Ömerağa, Alemdar Cd. No:43, 41300 İzmit/Kocaeli",444 1 444,,http://www.turktelekom.com.tr/,https://www.google.com/maps/place/Saatci+Teknik+Servis+Kocaeli/data=!4m7!3m6!1s0x14cb4f7f92fa272f:0x18936f884d37672e!8m2!3d40.7676356!4d29.926847!16s%2Fg%2F11hyspm5k0!19sChIJLyf6kn9PyxQRLmc3TYhvkxg?authuser=0&hl=tr&rclk=1
Şimşir iletişim,"Ömerağa, Fethiye Cd. öztalay iş merkezi D:1.kat, 41500 İzmit/Kocaeli",0535 045 70 78,,N/A,https://www.google.com/maps/place/Ortak+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb450059d348d7:0x89eb71082b109204!8m2!3d40.765325!4d29.9249679!16s%2Fg%2F11tmzzx0l4!19sChIJ10jTWQBFyxQRBJIQKwhx64k?authuser=0&hl=tr&rclk=1
YAMAN İLETİŞİM,"Tepecik, İstiklal Cd. 40/A, 41200 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/T%C3%BCrk+Telekom+M%C3%BCd%C3%BCrl%C3%BC%C4%9F%C3%BC/data=!4m7!3m6!1s0x14cb45638580ee4f:0x3ed2f13dcdabe00e!8m2!3d40.7645845!4d29.9282307!16s%2Fg%2F11j6wx_61g!19sChIJT-6AhWNFyxQRDuCrzT3x0j4?authuser=0&hl=tr&rclk=1
Cep X İletişim,"Karabaş, İnönü Cd. No:236, 41000 İzmit/Kocaeli",0552 919 73 89,,N/A,https://www.google.com/maps/place/%C5%9Eim%C5%9Fir+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb45a6c01cc1c1:0x7b14d44a1079b7a4!8m2!3d40.7647153!4d29.9266641!16s%2Fg%2F11v_85zr3f!19sChIJwcEcwKZFyxQRpLd5EErUFHs?authuser=0&hl=tr&rclk=1
"Sembol Mesaj | SMS, MMS, Sesli Mesaj,Mobil Anket, Sanal Santral","Canpolat İş Merkezi, Yenişehir, Banu Sk. No:55/A, 41040 İzmit/Kocaeli",0850 666 0566,info@sembolmesaj.com,http://www.sembolmesaj.com/,https://www.google.com/maps/place/YAMAN+%C4%B0LET%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb4593d131104d:0x50d85d5169b37475!8m2!3d40.76353!4d29.9249463!16s%2Fg%2F11rwmr78ns!19sChIJTRAx0ZNFyxQRdXSzaVFd2FA?authuser=0&hl=tr&rclk=1
"Sembol Mesaj | SMS, MMS, Sesli Mesaj,Mobil Anket, Sanal Santral","Canpolat İş Merkezi, Yenişehir, Banu Sk. No:55/A, 41040 İzmit/Kocaeli",0850 666 0566,info@sembolmesaj.com,http://www.sembolmesaj.com/,https://www.google.com/maps/place/Cep+X+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb4f7680407c83:0x8f8910e8b0ff969a!8m2!3d40.7660774!4d29.931364!16s%2Fg%2F11splgws1p!19sChIJg3xAgHZPyxQRmpb_sOgQiY8?authuser=0&hl=tr&rclk=1
Şen İletişim Kocaeli,"Ömerağa, Alemdar Cd. Şen İş Merkezi Giriş kat No.044, 41300 İzmit/Kocaeli",(0262) 331 55 37,,N/A,"https://www.google.com/maps/place/Sembol+Mesaj+%7C+SMS,+MMS,+Sesli+Mesaj,Mobil+Anket,+Sanal+Santral/data=!4m7!3m6!1s0x14cb4fe6fd61dd09:0x843f26e32afcb953!8m2!3d40.765532!4d29.965568!16s%2Fg%2F11c2pp37p7!19sChIJCd1h_eZPyxQRU7n8KuMmP4Q?authuser=0&hl=tr&rclk=1"
Kocaeli GSM Teknik Servis,"Ömerağa, İnönü Cd. 154/a, 41300 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/AYZ+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb4f1c9ac48d15:0xa0f8e2e6ade9d5d1!8m2!3d40.7658082!4d29.9299045!16s%2Fg%2F11y2b_mjm8!19sChIJFY3EmhxPyxQR0dXprebi-KA?authuser=0&hl=tr&rclk=1
AY-AS İletişim,"Mehmetağa, Karamürsel Cd. No:156, 41140 Başiskele/Kocaeli",,,N/A,https://www.google.com/maps/place/%C5%9Een+%C4%B0leti%C5%9Fim+Kocaeli/data=!4m7!3m6!1s0x14cb45da9a501a5f:0x886d717dfe4ba803!8m2!3d40.7653923!4d29.9282797!16s%2Fg%2F11gxmghj21!19sChIJXxpQmtpFyxQRA6hL_n1xbYg?authuser=0&hl=tr&rclk=1
Upex Mobile,"Ömerağa, Alemdar Cd. SOYDAN İŞHANİ NO34/61, 41000 İzmit/Kocaeli",0533 661 03 99,,N/A,https://www.google.com/maps/place/Kocaeli+GSM+Teknik+Servis/data=!4m7!3m6!1s0x14cb451f7ef60ee5:0x950e4ea891130e4f!8m2!3d40.7656716!4d29.9271395!16s%2Fg%2F11l5ntdd0j!19sChIJ5Q72fh9FyxQRTw4TkahODpU?authuser=0&hl=tr&rclk=1
Fatih iletişim ceptelefunu tamir,"Doğan, Hasan Atakan Cd. No:15, 41100 İzmit/Kocaeli",0535 312 00 00,,N/A,https://www.google.com/maps/place/AY-AS+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb5b8453db9f83:0xdd4bdaa30479bf1c!8m2!3d40.7240722!4d29.9885935!16s%2Fg%2F11r9v9qf_0!19sChIJg5_bU4RbyxQRHL95BKPaS90?authuser=0&hl=tr&rclk=1
Micro Tech Telefon Tamir Ve Bakım,"İstasyon, Mis Sk. No:13, 41250 Kartepe/Kocaeli",,,N/A,https://www.google.com/maps/place/Upex+Mobile/data=!4m7!3m6!1s0x14cb4591a09218e9:0x438890cf03aae70f!8m2!3d40.7643587!4d29.9284415!16s%2Fg%2F11lw8pyfwp!19sChIJ6RiSoJFFyxQRD-eqA8-QiEM?authuser=0&hl=tr&rclk=1
CIFTECHNOLOGY,"Akdoğan Pasajı, ömerağa mahallesi hürriyet caddesi no:131/7, Hürriyet Cd. No:131, 41100 Kocaeli",0535 865 41 41,,N/A,https://www.google.com/maps/place/Fatih+ileti%C5%9Fim+ceptelefunu+tamir/data=!4m7!3m6!1s0x14cb460b8c9a591b:0xf89998fb3411c7d6!8m2!3d40.765679!4d29.8761344!16s%2Fg%2F11hbqvlpft!19sChIJG1majAtGyxQR1scRNPuYmfg?authuser=0&hl=tr&rclk=1
Deniz İletişim,"Karabaş, Cengiz Topel Cd. NO:42, 41040 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Micro+Tech+Telefon+Tamir+Ve+Bak%C4%B1m/data=!4m7!3m6!1s0x14cb5155140854a1:0xd84d790e775dec8c!8m2!3d40.7514809!4d30.02487!16s%2Fg%2F11tcgn7jrj!19sChIJoVQIFFVRyxQRjOxddw55Tdg?authuser=0&hl=tr&rclk=1
Türk Telekom,"Karabaş, Hürriyet Cd. No:159/A, 41040 İzmit/Kocaeli",444 1 444,,https://www.turktelekom.com.tr/,https://www.google.com/maps/place/CIFTECHNOLOGY/data=!4m7!3m6!1s0x14cb457fa2730f89:0xeb0f3c616b602d4!8m2!3d40.7637722!4d29.929268!16s%2Fg%2F11gsbfn6y9!19sChIJiQ9zon9FyxQR1AK2FsbzsA4?authuser=0&hl=tr&rclk=1
Çağrı iletişim,"Kadıköy, Turan Güneş Cd. No:204, 41050 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/Deniz+%C4%B0leti%C5%9Fim/data=!4m7!3m6!1s0x14cb4f87c86cb02d:0x82aab74f48f1bf88!8m2!3d40.7649964!4d29.9380076!16s%2Fg%2F11j4sv_vs5!19sChIJLbBsyIdPyxQRiL_xSE-3qoI?authuser=0&hl=tr&rclk=1
As Mobil Symbol İzmit,"Symbol Avm Asmobil mağazası, Ovacık, D100 no:34/3, 41140 İzmit/Kocaeli",0539 292 30 41,,N/A,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x14d351f077f3df0f:0xdabf45f80ee9280e!8m2!3d40.7644339!4d29.93307!16s%2Fg%2F1q671qq2f!19sChIJD9_zd_BR0xQRDijpDvhFv9o?authuser=0&hl=tr&rclk=1
Tim-Avm,"Doruk Kocaeli Iletisim.hizm.telekom.it.ih.s.tic.ltd., Symbol AVM E-5 Izmit, Başiskele, 41140 Kocaeli/Ovacık Mh.",(0282) 768 72 05,,N/A,https://www.google.com/maps/place/%C3%87a%C4%9Fr%C4%B1+ileti%C5%9Fim/data=!4m7!3m6!1s0x14cb4f4878ff60df:0x88fd9abc0bf0650c!8m2!3d40.7700538!4d29.9473299!16s%2Fg%2F11tfsycjhl!19sChIJ32D_eEhPyxQRDGXwC7ya_Yg?authuser=0&hl=tr&rclk=1
ESEN İLETİŞİM,"28 Haziran, Turan Güneş Cd. NO:301/B, 41060 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/As+Mobil+Symbol+%C4%B0zmit/data=!4m7!3m6!1s0x14cb5100e7b50515:0x8dad3e4603de44a8!8m2!3d40.7585913!4d29.9790307!16s%2Fg%2F11vb38clt1!19sChIJFQW15wBRyxQRqETeA0Y-rY0?authuser=0&hl=tr&rclk=1
Vodafone Bee Shop,"Karabaş, Cengiz Topel Cd. No:46, 41040 İzmit/Kocaeli",,,https://turkmia.org/Vodafone+Bee+Shop-871394,https://www.google.com/maps/place/Tim-Avm/data=!4m7!3m6!1s0x14cb5aada663ba9f:0xf8cb54494221216!8m2!3d40.7443735!4d29.9772457!16s%2Fg%2F11bz_30178!19sChIJn7pjpq1ayxQRFhIilES1jA8?authuser=0&hl=tr&rclk=1
ONKO Technology,"Kemalpaşa, Hürriyet Cd. No:51/A, 41100 İzmit/Kocaeli",0544 367 53 08,,N/A,https://www.google.com/maps/place/ESEN+%C4%B0LET%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb51d72bad048d:0x2356ddb2ae0f17f5!8m2!3d40.772903!4d29.952615!16s%2Fg%2F11fy4bn0zh!19sChIJjQStK9dRyxQR9RcPrrLdViM?authuser=0&hl=tr&rclk=1
FTS GSM,"Plaza Avm, Ömerağa, Belsa Sk. No:3, 41100 İzmit/Kocaeli",0501 298 52 41,,N/A,https://www.google.com/maps/place/Vodafone+Bee+Shop/data=!4m7!3m6!1s0x14cb4f87c7cd9929:0x57742fc34ea93cf9!8m2!3d40.7648799!4d29.9380836!16s%2Fg%2F11gyyjhhmq!19sChIJKZnNx4dPyxQR-TypTsMvdFc?authuser=0&hl=tr&rclk=1
Gsm Teknik Servis,"Ömerağa, belsa plaza Giriş kat a blok no 13, 41200 İzmit/Kocaeli",,,N/A,https://www.google.com/maps/place/ONKO+Technology/data=!4m7!3m6!1s0x14cb4511895395eb:0x65468902f5bb0e94!8m2!3d40.7630087!4d29.9244505!16s%2Fg%2F11sqkt05vd!19sChIJ65VTiRFFyxQRlA679QKJRmU?authuser=0&hl=tr&rclk=1
Teknosa,"Ovacık, D100 No:34, 41140 Başiskele/Kocaeli",0850 222 5599,"fitness_220316@1x.jpg, bilgilendirme@teknosa.com, yenilenmis_220530@1x.jpg, widget_axessodeme_250120@2x.jpg, widget_bonusodeme_250120@2x.jpg, kulaklik_210110@1x.jpg, wearable_technology@2x.png, axess@2x.png, tosla_logo_250326@2x.png, konsol_aksesuar_210110@1x.jpg, lens_220902@1x.jpg, widget_tablet_jenerik_250430@2x.jpg, widget_alisveriskredisiodeme_250120@2x.jpg, widget_birliktealkampanyasi_250422@2x.jpg, cicekbakimi_250418@2x.png, axess@1x.png, hirdavat_240311@2x.jpg, scooter_220316@1x.jpg, android_210110@1x.jpg, konsol_210110@1x.jpg, oyuncak_230105@1x.jpg, cevre_birimleri_210110@1x.jpg, maske_220901@1x.jpg, vurmali_210110@1x.jpg, dikis_makinesi_220316@1x.jpg, ankastre_210110@1x.jpg, akilli_kiyafet_220822@1x.jpg, monitor_220530@1x.jpg, bebek_220211@1x.jpg, opt_5@1x.png, mobile_phone_acc@1x.png, kamera_210110@1x.jpg, kamp_220316@1x.jpg, klima_210110@1x.jpg, aydinlatma_210110@1x.jpg, app-store-tp@1x.png, bahce_230105@1x.jpg, wellbeing@2x.jpg, opt_2@1x.png, opt_3@2x.png, mobile_phone_acc@2x.png, ios-device-230823@0.5x.png, home_phones@1x.png, app-gallery-tp@2x.png, qnb@2x.png, jenerator_250418@2x.png, buzdolabi_210110@1x.jpg, drone_230105@1x.jpg, euronics@2x.png, bonus@2x.png, widget_taksitalisveris_kamp_250416@2x.jpg, app-store-tp@2x.png, fotograf_makinesi_210110@1x.jpg, mobilya_220211@1x.jpg, google-play-tp@1x.png, epilasyon_210110@1x.jpg, bahcemalz_250417@2x.png, oyuncu_ekipman_210110@1x.jpg, telefon2el@2x.jpg, tablet_ikinciel@2x.jpg, camasir_makinesi_210110@1x.jpg, bonus@1x.png, bahcemobilyalari_250417@2x.png, pc_bilesen_210110@1x.jpg, oto_aksesuar_230404@1x.jpg, opt_1@1x.png, app-gallery-tp@1x.png, home_phones@2x.png, supurge_210110@1x.jpg, dondurucu_220530@1x.jpg, utu_210110@1x.jpg, tv_210110@1x.jpg, opt_1@2x.png, veri_depolama_220901@1x.jpg, mutfak_aletleri_210110@1x.jpg, wearable_technology@1x.png, opt_3@1x.png, opt_2@2x.png, tablet_210110@1x.jpg, saglik_210110@1x.jpg, notebook_210110@1x.jpg, tv_aksesuar_220901@1x.jpg, teleskop_230105@1x.jpg, akilli_ev_220902@1x.jpg, wellbeing@1x.jpg, mobile_phones@2x.png, sofra_mutfak_230404@1x.jpg, gaming_221230@1x.jpg, mobile_phones@1x.png, cocuk_saati_220822@1x.jpg, hoparlor_210110@1x.jpg, yazici_210110@1x.jpg, widget_samsung_mikrodalga_firin_250425@2x.jpg, saat_bileklik_aksesuar_220822@1x.jpg, lnb_220901@1x.jpg, oyun_210110@1x.jpg, android-device@2x.png, modem_220901@1x.jpg, kulaklik_220902@1x.jpg, guvenlik_kamerasi_220218@1x.jpg, widget_logitech_nisan_mainstream_250429@2x.jpg, 2liwidget_applejenerik_241105@2x.jpg, zb-bankkart@2x.png, mangalbarbeku_250417@2x.png, notebook_ikinciel@2x.jpg, google-play-tp@2x.png, opt_8@2x.png, opt_5@2x.png, kol_saati@2x.jpg, hirdavatyap_250418@2x.png, euronics@1x.png, opt_8@1x.png, ai_phone@2x.jpg, firin_210110@1x.jpg, ofis_mobilyalari_210110@1x.jpg, kahve_makinesi_210110@1x.jpg, sac_kurutma_210110@1x.jpg, widget_yenilenmistelefon_hb_bilisim_250418@2x.jpg, pikap_220901@1x.jpg, akilli_bileklik_220822@1x.jpg, giyilebilir_ikinciel@2x.jpg, 2liwidget_dysonairstrait_241128@2x.jpg, evcil_hayvan_231103@2x.jpg, pc_bilesen_220316@1x.jpg, bulasik_makinesi_210110@1x.jpg, lens_210110@1x.jpg, sanal_gerceklik_220822@1x.jpg, hafiza_kartlari_210110@1x.jpg, desktop_210110@1x.jpg, muzik_kayit221230@1x.jpg, tiras_220901@1x.jpg",https://www.teknosa.com/,https://www.google.com/maps/place/FTS+GSM/data=!4m7!3m6!1s0x14cb45688e212e13:0x1c15b0842297e31f!8m2!3d40.7652486!4d29.9288101!16s%2Fg%2F11sjtlv991!19sChIJEy4hjmhFyxQRH-OXIoSwFRw?authuser=0&hl=tr&rclk=1
İZMİT IPHONE SATIŞ BAYİSİ NOVO MOBİL - GARANTİLİ TEKNİK SERVİS,"Ömerağa, Akça Cami Cd. NO:18/E, 41100 İzmit/Kocaeli",0541 115 41 41,,http://izmitiphoneteknikservis.com/,https://www.google.com/maps/place/Gsm+Teknik+Servis/data=!4m7!3m6!1s0x14cb4feefdf0d887:0x3de768282ede1130!8m2!3d40.7653954!4d29.9298518!16s%2Fg%2F11rctxknd1!19sChIJh9jw_e5PyxQRMBHeLiho5z0?authuser=0&hl=tr&rclk=1
TURKCELL GUNES İLETİŞİM,"Yeşilova, Yeşilova Cd. 12/a, 41100 İzmit/Kocaeli",0533 163 79 47,,N/A,https://www.google.com/maps/place/Teknosa/data=!4m7!3m6!1s0x14cb500366ecf527:0x812d27bc49efac7f!8m2!3d40.7585913!4d29.9790307!16s%2Fg%2F1q670h7f8!19sChIJJ_XsZgNQyxQRf6zvSbwnLYE?authuser=0&hl=tr&rclk=1
Türk Telekom,"Karabaş, Hürriyet Cd. No:139/A, 41040 İzmit/Kocaeli",444 1 444,,https://www.turktelekom.com.tr/,https://www.google.com/maps/place/%C4%B0ZM%C4%B0T+IPHONE+SATI%C5%9E+BAY%C4%B0S%C4%B0+NOVO+MOB%C4%B0L+-+GARANT%C4%B0L%C4%B0+TEKN%C4%B0K+SERV%C4%B0S/data=!4m7!3m6!1s0x14cb452649af4b19:0x5d6f3a12c500eb1b!8m2!3d40.7655553!4d29.9287702!16s%2Fg%2F11tmjrqj5d!19sChIJGUuvSSZFyxQRG-sAxRI6b10?authuser=0&hl=tr&rclk=1
Troyka GSM Teknik Servis,"Merkez, Amiral Sağlam Cd. No:21/A, 41650 Gölcük/Kocaeli",0541 128 71 41,,http://www.troykateknikservis.com.tr/,https://www.google.com/maps/place/TURKCELL+GUNES+%C4%B0LET%C4%B0%C5%9E%C4%B0M/data=!4m7!3m6!1s0x14cb4fbca71f35d7:0xcd4732bfdd8cde54!8m2!3d40.7868209!4d29.9719806!16s%2Fg%2F11y59b44tg!19sChIJ1zUfp7xPyxQRVN6M3b8yR80?authuser=0&hl=tr&rclk=1
Troyka GSM Teknik Servis,"Merkez, Amiral Sağlam Cd. No:21/A, 41650 Gölcük/Kocaeli",0541 128 71 41,,http://www.troykateknikservis.com.tr/,https://www.google.com/maps/place/T%C3%BCrk+Telekom/data=!4m7!3m6!1s0x14cb4ff2c1a1f61d:0x48f5f25d24d65de3!8m2!3d40.7640352!4d29.9309162!16s%2Fg%2F11j1g0tkxy!19sChIJHfahwfJPyxQR413WJF3y9Ug?authuser=0&hl=tr&rclk=1
Troyka GSM Teknik Servis,"Merkez, Amiral Sağlam Cd. No:21/A, 41650 Gölcük/Kocaeli",0541 128 71 41,,http://www.troykateknikservis.com.tr/,https://www.google.com/maps/place/Troyka+GSM+Teknik+Servis/data=!4m7!3m6!1s0x14cb44ae89407285:0x81bbfceef85ef23c!8m2!3d40.718291!4d29.8204032!16s%2Fg%2F11sx3t27g8!19sChIJhXJAia5EyxQRPPJe-O78u4E?authuser=0&hl=tr&rclk=1
Vodafone Dijital Partner,"Symbol Kocaeli Avm, Yazlık Yeni Mah, Atatürk Bulv No:34, 41650 Gölcük/Kocaeli",0545 440 05 42,,https://www.vodafone.com.tr/bayi/kocaeli/golcuk/ozdemir-iletisim-yilmaz-ulas-ozdemir?utm_source=gbp&utm_medium=google,https://www.google.com/maps/place/Turkcell+Ileti%C5%9Fim+Merkezi/data=!4m7!3m6!1s0x14cb44e0713bd37d:0x6e60933d0ccf1bfe!8m2!3d40.7210808!4d29.9504906!16s%2Fg%2F11fl46ch5j!19sChIJfdM7ceBEyxQR_hvPDD2TYG4?authuser=0&hl=tr&rclk=1
Vodafone Dijital Partner,"Symbol Kocaeli Avm, Yazlık Yeni Mah, Atatürk Bulv No:34, 41650 Gölcük/Kocaeli",0545 440 05 42,,https://www.vodafone.com.tr/bayi/kocaeli/golcuk/ozdemir-iletisim-yilmaz-ulas-ozdemir?utm_source=gbp&utm_medium=google,https://www.google.com/maps/place/Turkcell+Ileti%C5%9Fim+Merkezi/data=!4m7!3m6!1s0x14cb457f867081b3:0xe7d8a0ed939978b3!8m2!3d40.7642008!4d29.927897!16s%2Fg%2F11cs6kt9xc!19sChIJs4Fwhn9FyxQRs3iZk-2g2Oc?authuser=0&hl=tr&rclk=1
,"Ömerağa, Alemdar Cd. no:26, 41100 İzmit/Kocaeli",(0262) 331 42 34,,https://www.zorepremiumkocaeli.com/,https://www.google.com/maps/place/Vodafone+Dijital+Partner/data=!4m7!3m6!1s0x14cb500366d434cd:0xac5be7c72abe75c0!8m2!3d40.7591685!4d29.9795537!16s%2Fg%2F11bxg2pkf0!19sChIJzTTUZgNQyxQRwHW-KsfnW6w?authuser=0&hl=tr&rclk=1
GULF MOBİLE,"Ömerağa, Abdurrahman Yüksel Cd. BELSA PLAZA İŞ MERKEZİ D:9/4 BLOK NO:15, 41310 İzmit/Kocaeli",0545 541 13 21,,N/A,https://www.google.com/maps/place/Mobil+Market+Alikahya/data=!4m7!3m6!1s0x14cb512acba5e67f:0x8ad211cf83e51da7!8m2!3d40.7726997!4d30.0064184!16s%2Fg%2F11rb2hk3k6!19sChIJf-alyypRyxQRpx3lg88R0oo?authuser=0&hl=tr&rclk=1
Turkcell İletişim Merkezi,"Sanayi, Ömer Türkçakal Blv. B 610 A, 41040 İzmit/Kocaeli",0541 331 01 01,"gnc-icon@2x.png, fizy-icon@2x.png, upcall-icon@2x.png, bip-icon@2x.png",https://www.turkcell.com.tr/,https://www.google.com/maps/place/%C3%82l%C3%A2+Telefon+Aksesuar+Teknoloji/data=!4m7!3m6!1s0x14cb45ff5ff39f39:0xf8c5afd67a9708e6!8m2!3d40.7637998!4d29.9285833!16s%2Fg%2F11vbcstymk!19sChIJOZ_zX_9FyxQR5giXetavxfg?authuser=0&hl=tr&rclk=1
Hüner İletişim,"M. Alipaşa, Bağdat Cd. No:116, 41050 İzmit/Kocaeli (Izmit)",(0262) 325 67 86,,N/A,https://www.google.com/maps/place/GULF+MOB%C4%B0LE/data=!4m7!3m6!1s0x14cb45dbf47b5943:0xebd8bb669b6f4e90!8m2!3d40.7651272!4d29.9296518!16s%2Fg%2F11w22j1sjn!19sChIJQ1l79NtFyxQRkE5vm2a72Os?authuser=0&hl=tr&rclk=1
