Ad,Adres,Telefon,E-posta,Web Sitesi,Google Maps Link
Senkron Bilgisayar,"Körfez, Şht. Hasan Sk. NO:18/1, 41040 İzmit/Kocaeli",(0262) 325 78 10,info@sbe.com.tr,http://www.sbe.com.tr/,https://www.google.com/maps/place/G%C3%BCrsel+Bilgisayar+%26+G%C3%BCvenlik+Sistemleri+%C4%B0th.+%C4%B0hr.+San+Tic.+Ltd.+%C5%9Eti/data=!4m7!3m6!1s0x14cb457f8d2d7289:0x3fea53c8ed4b5379!8m2!3d40.7647702!4d29.9283809!16s%2Fg%2F11dztsg_0b!19sChIJiXItjX9FyxQReVNL7chT6j8?authuser=0&hl=tr&rclk=1
Esna Bilişim,"Sanayi Kozalı Caddesi No:10 G D:Blok D2, 41040 İzmit/Kocaeli",,info@esnabilisim.com,http://esnabilisim.com/,https://www.google.com/maps/place/TEZA+Bili%C5%9Fim+Teknoloji+A.%C5%9E./data=!4m7!3m6!1s0x14cb4f80a8c96fe7:0x6d7de8200199e028!8m2!3d40.7659658!4d29.9327146!16s%2Fg%2F1q2w9f_f2!19sChIJ52_JqIBPyxQRKOCZASDofW0?authuser=0&hl=tr&rclk=1
Kocaeli Dijital | Web Tasarım ve Dijital Medya Ajansı,"Öztalay İş Merkezi, Ömerağa, Fethiye Cd. No:170, 41100 İzmit/Kocaeli",0850 303 0241,info@kocaelidijital.com,https://kocaelidijital.com/,https://www.google.com/maps/place/Entropha+Bilgi+Teknolojileri/data=!4m7!3m6!1s0x14cb4fd6c6b56011:0x4c0189a7a5a954c5!8m2!3d40.7645542!4d29.9391897!16s%2Fg%2F11fj9cy3s1!19sChIJEWC1xtZPyxQRxVSppaeJAUw?authuser=0&hl=tr&rclk=1
Domain & Hosting & Sunucu - Turhost.com,"Sanayi, Çarşı Yapı F Blok No.6, 41040 İzmit/Kocaeli",(0212) 227 74 74,satis@turhost.com,https://www.turhost.com/,https://www.google.com/maps/place/K%C4%B0M+Bili%C5%9Fim+E%C4%9Fitim+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+Hizmetleri/data=!4m7!3m6!1s0x14cb458197c55fbb:0x4e101e0a33094eb!8m2!3d40.7030441!4d29.8842175!16s%2Fg%2F1ptx3xh76!19sChIJu1_Fl4FFyxQR65Qwo-AB4QQ?authuser=0&hl=tr&rclk=1
FKO Bilişim,"Yenişehir, Şht. Kazım Sk. No:9/B, 41050 İzmit/Kocaeli",,info@fkobilisim.com,http://izmit.pctedarik.com/,https://www.google.com/maps/place/%C3%96zdemir+Bilgisayar/data=!4m7!3m6!1s0x14cb457f8f9e9cd3:0x2147142a3c3465f1!8m2!3d40.7653679!4d29.9287669!16s%2Fg%2F1hcb3v2b4!19sChIJ05yej39FyxQR8WU0PCoURyE?authuser=0&hl=tr&rclk=1
Logo Yazılım Kocaeli Bayi - Alp Bilge Kocaeli Ofisi,"Soydan İş Merkezi, Ömerağa, İstiklal Cd. No:129, 41300 İzmit/Kocaeli",0850 533 1368,ugur-alan@outlook.com,http://www.alpbilge.com.tr/,https://www.google.com/maps/place/Prodos+Bili%C5%9Fim+E%C4%9Fitim+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+Tic./data=!4m7!3m6!1s0x14cb457fc44b21ff:0x55f45bac180c6d2e!8m2!3d40.7647681!4d29.9297771!16s%2Fg%2F11j1fytknl!19sChIJ_yFLxH9FyxQRLm0MGKxb9FU?authuser=0&hl=tr&rclk=1
EKocaeli Bilişim Hizmetleri,"Kadıköy, Baycan Sk. No:37, 41100 İzmit/Kocaeli",0850 840 2541,info@ekocaeli.com,https://ekocaeli.com/,https://www.google.com/maps/place/Sistem+Bilgisayar/data=!4m7!3m6!1s0x14cb4f889e2567df:0xc105195691d0806a!8m2!3d40.7651819!4d29.9402756!16s%2Fg%2F1hc6mw03m!19sChIJ32clnohPyxQRaoDQkVYZBcE?authuser=0&hl=tr&rclk=1
Petran Bilgi Teknolojileri,"Körfez Mahallesi Ankara Karayolu Caddesi (Eski Bağdat Yolu) kocaeli plaza no 111 kapi 13, 41040 Kocaeli",(0262) 325 55 00,petran@petran.com.tr,http://www.petran.com.tr/,https://www.google.com/maps/place/Petran+Bilgi+Teknolojileri/data=!4m7!3m6!1s0x14cb457f8f9e9cd3:0x966eb10a3e9575b2!8m2!3d40.762861!4d29.9415283!16s%2Fg%2F1tfhw9p1!19sChIJ05yej39FyxQRsnWVPgqxbpY?authuser=0&hl=tr&rclk=1
ÖZÜER BİLİŞİM TEKNOLOJİLERİ KONICA MINOLTA,"M. Alipaşa, Erkan Sk. No:31, 41100 İzmit/Kocaeli",(0262) 325 34 81,info@ozuerburo.com,http://www.ozuerburo.com/,https://www.google.com/maps/place/Yazarge+Bili%C5%9Fim+San.+Tic.+Ltd.+%C5%9Eti+-+Kocaeli+Web+Tasar%C4%B1m/data=!4m7!3m6!1s0x14cb4f800a745953:0x7947c71500451771!8m2!3d40.7637!4d29.9599175!16s%2Fg%2F1yg6nq72r!19sChIJU1l0CoBPyxQRcRdFABXHR3k?authuser=0&hl=tr&rclk=1
ENON BİLİŞİM TEKNOLOJİ LTD. ŞTİ.,"Körfez Mah. Berk Sk. Barış İş Merkezi No:65, 41100",(0262) 332 55 44,typed.js@2.0.9,http://www.i-deasoft.com/,https://www.google.com/maps/place/%C3%96Z%C3%9CER+B%C4%B0L%C4%B0%C5%9E%C4%B0M+TEKNOLOJ%C4%B0LER%C4%B0+KONICA+MINOLTA/data=!4m7!3m6!1s0x14cb4ff3728dde73:0xb4f6bdaffdf86095!8m2!3d40.7642507!4d29.9538367!16s%2Fg%2F11fy_6f37t!19sChIJc96NcvNPyxQRlWD4_a-99rQ?authuser=0&hl=tr&rclk=1
Fordevo Yazılım ve Danışmanlık,"Cumhuriyet, Mısır Sk. Miraç Sitesi C Blok No:4 D:6, 41100 İzmit/Kocaeli",0544 344 46 83,info@fordevo.com,https://fordevo.com/,https://www.google.com/maps/place/A.S.R.+Elektronik+%26+Ses+Sistemleri/data=!4m7!3m6!1s0x14cb4fec43c19741:0xe9bc479e48fc908b!8m2!3d40.7708942!4d29.9547818!16s%2Fg%2F1tkrc7m8!19sChIJQZfBQ-xPyxQRi5D8SJ5HvOk?authuser=0&hl=tr&rclk=1
Adım Web Hizmetleri,"Ömerağa Mah. İnönü Cad. Asal Ap. No:156 Kat: 2 D: 4, 41300",0507 501 85 14,info@adimweb.com,https://adimweb.com/,https://www.google.com/maps/place/BUR%C3%87AK+B%C4%B0L%C4%B0%C5%9E%C4%B0M+TEKNOLOJ%C4%B0LER%C4%B0/data=!4m7!3m6!1s0x14cb457ffafa7b73:0xf68baffdc3d6996e!8m2!3d40.7654769!4d29.9283741!16s%2Fg%2F11c1p5vb42!19sChIJc3v6-n9FyxQRbpnWw_2vi_Y?authuser=0&hl=tr&rclk=1
Kocaeli Bilgisayar,"Ömerağa mahallesi İstiklal Caddesi, Belsa Sk. Kat:1 No:120, 41100 İzmit/Kocaeli",(0262) 321 11 81,info@kocaelibilgisayar.com.tr,https://www.kocaelibilgisayar.com.tr/,https://www.google.com/maps/place/Machsis+Bili%C5%9Fim/data=!4m7!3m6!1s0x14cb4f0de5041895:0xd804a9898b62425c!8m2!3d40.7668746!4d29.9446033!16s%2Fg%2F11fklrtx0z!19sChIJlRgE5Q1PyxQRXEJii4mpBNg?authuser=0&hl=tr&rclk=1
MECHATNOM TEKNOLOJİ YAZILIM SANAYİ TİCARET ANONİM ŞİRKETİ,"Çarşı Yapı, Sanayi, Kozalı Cd. A Blok 10A/ Bina No: 20, 41040 İzmit/Kocaeli",,info@mechatnom.com,http://www.mechatnom.com/,https://www.google.com/maps/place/Kocaeli+Bilgisayar/data=!4m7!3m6!1s0x14cb457f93aa83db:0xc1a5e6fdfcffb3e2!8m2!3d40.7646925!4d29.9290283!16s%2Fg%2F1twxntcg!19sChIJ24Oqk39FyxQR4rP__P3mpcE?authuser=0&hl=tr&rclk=1
Yasa Medya Kocaeli Reklam Ajansı,"Yenişehir, Demokrasi Cd. No:27 / 10, 41100 İzmit/Kocaeli",0549 718 41 00,info@yasamedya.com,https://yasamedya.com/,https://www.google.com/maps/place/Sevak+Yaz%C4%B1l%C4%B1m+Dan%C4%B1%C5%9Fmanl%C4%B1k+Mimarl%C4%B1k/data=!4m7!3m6!1s0x14cb4562b49147b3:0x16c4d8d04dc296ad!8m2!3d40.7544734!4d29.9543276!16s%2Fg%2F11splh_kgh!19sChIJs0eRtGJFyxQRrZbCTdDYxBY?authuser=0&hl=tr&rclk=1
BAYBİLİR Yazılım Danışmanlık Ltd. Şti.,"Ömerağa, Alemdar Cd. No:34/75, 41300 İzmit/Kocaeli",0532 262 03 13,info@baybilir.com,http://baybilir.com/,https://www.google.com/maps/place/UNO+Bilgisayar/data=!4m7!3m6!1s0x14cb516ccfadef9b:0xfed5ccfa9247f566!8m2!3d40.7614312!4d29.9759326!16s%2Fg%2F11rh_4sl16!19sChIJm--tz2xRyxQRZvVHkvrM1f4?authuser=0&hl=tr&rclk=1
